epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.867,1.28531,1.71211,1.26963,0.6654,0.49901,0.55827,0.40047,1.11977,1.12178,1.11973,3.96468e-05,3.96468e-05,3.96468e-05
2,298.546,1.27019,1.68229,1.25492,0.63787,0.48584,0.54109,0.38404,1.13847,1.15607,1.13232,7.77431e-05,7.77431e-05,7.77431e-05
3,440.565,1.27659,1.68466,1.2573,0.61042,0.47435,0.51683,0.36321,1.16349,1.21601,1.14443,0.000114269,0.000114269,0.000114269
4,581.457,1.27595,1.66775,1.25738,0.58037,0.46562,0.5159,0.35969,1.16161,1.24159,1.1525,0.000111931,0.000111931,0.000111931
5,722.412,1.27356,1.66469,1.25765,0.62676,0.45837,0.505,0.35228,1.1771,1.2568,1.15823,0.000109575,0.000109575,0.000109575
6,862.62,1.26469,1.64775,1.25408,0.59508,0.45762,0.49626,0.34857,1.18577,1.25959,1.16299,0.000107219,0.000107219,0.000107219
7,1001.62,1.25964,1.63267,1.25459,0.61608,0.44602,0.50834,0.35101,1.17536,1.25071,1.15857,0.000104863,0.000104863,0.000104863
8,1141.83,1.26528,1.62524,1.25136,0.61927,0.45666,0.49878,0.35228,1.17978,1.24978,1.1622,0.000102507,0.000102507,0.000102507
9,1282.56,1.25352,1.60248,1.24392,0.58725,0.46746,0.49849,0.34885,1.17641,1.24344,1.15846,0.00010015,0.00010015,0.00010015
10,1422.87,1.25514,1.58765,1.24314,0.61146,0.44712,0.49133,0.34453,1.18506,1.26332,1.16778,9.77942e-05,9.77942e-05,9.77942e-05
11,1562.91,1.24701,1.58663,1.24222,0.62069,0.44364,0.49556,0.34745,1.18493,1.28251,1.1623,9.5438e-05,9.5438e-05,9.5438e-05
12,1704.13,1.24713,1.57635,1.23867,0.58904,0.46591,0.49431,0.34366,1.18399,1.24597,1.1634,9.30818e-05,9.30818e-05,9.30818e-05
13,1845.63,1.23791,1.5598,1.2344,0.59291,0.45677,0.49735,0.34492,1.18141,1.26081,1.1662,9.07256e-05,9.07256e-05,9.07256e-05
14,1986.91,1.24101,1.55577,1.23834,0.5783,0.45498,0.48736,0.34277,1.18321,1.264,1.15983,8.83694e-05,8.83694e-05,8.83694e-05
15,2127.42,1.23373,1.54064,1.23187,0.58934,0.4459,0.48527,0.33923,1.18201,1.26485,1.16545,8.60132e-05,8.60132e-05,8.60132e-05
16,2268.33,1.23313,1.5258,1.23033,0.60779,0.4392,0.49005,0.33887,1.18592,1.26724,1.1654,8.3657e-05,8.3657e-05,8.3657e-05
17,2408.78,1.23074,1.52642,1.22931,0.57898,0.45931,0.48989,0.33919,1.19212,1.27076,1.17121,8.13008e-05,8.13008e-05,8.13008e-05
18,2549,1.22685,1.50629,1.22716,0.58448,0.45253,0.48988,0.34338,1.19119,1.26723,1.1723,7.89446e-05,7.89446e-05,7.89446e-05
