epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.468,1.17974,1.38736,1.23574,0.68517,0.49665,0.58131,0.40953,1.10919,1.16237,1.14784,0.0683492,0.00166583,0.00166583
2,305.891,1.22009,1.44893,1.25226,0.61775,0.49138,0.53615,0.36869,1.17693,1.28505,1.19806,0.0366792,0.00332924,0.00332924
3,453.002,1.27426,1.54169,1.28882,0.54824,0.43861,0.47391,0.31408,1.26815,1.43462,1.25608,0.00499632,0.00497965,0.00497965
4,593.602,1.33312,1.6483,1.33276,0.52762,0.43594,0.45158,0.30148,1.29703,1.46523,1.29019,0.00495616,0.00495616,0.00495616
5,751.343,1.33068,1.62508,1.32984,0.55538,0.44524,0.46865,0.31311,1.29237,1.44236,1.28687,0.00492224,0.00492224,0.00492224
6,888.652,1.32051,1.62164,1.32467,0.57657,0.43276,0.47359,0.31911,1.26765,1.43372,1.27073,0.00487886,0.00487886,0.00487886
7,1039.78,1.31546,1.5934,1.31912,0.58985,0.42931,0.46887,0.31874,1.2666,1.43195,1.26613,0.0048262,0.0048262,0.0048262
8,1168.95,1.30772,1.57936,1.31958,0.56802,0.44452,0.47529,0.32053,1.25806,1.39868,1.25912,0.00476445,0.00476445,0.00476445
9,1308.57,1.28992,1.54569,1.30082,0.57335,0.45679,0.48412,0.32892,1.25275,1.37051,1.25105,0.00469386,0.00469386,0.00469386
10,1444.94,1.29573,1.54336,1.30568,0.55739,0.45631,0.48236,0.32542,1.25317,1.39047,1.25829,0.00461471,0.00461471,0.00461471
11,1583.58,1.27887,1.52094,1.30328,0.61045,0.44526,0.49081,0.33327,1.25146,1.37648,1.26768,0.00452732,0.00452732,0.00452732
12,1721.83,1.27071,1.50418,1.29557,0.59801,0.46044,0.49695,0.34008,1.24887,1.33608,1.25731,0.00443202,0.00443202,0.00443202
13,3011.89,1.26576,1.49848,1.29076,0.61848,0.436,0.49064,0.33373,1.24917,1.35574,1.25735,0.0043292,0.0043292,0.0043292
14,3148.93,1.25948,1.47768,1.28487,0.60718,0.44415,0.49711,0.34085,1.23615,1.32606,1.25155,0.00421925,0.00421925,0.00421925
15,3289.69,1.25652,1.47135,1.28549,0.61737,0.45508,0.50285,0.34479,1.22188,1.32207,1.23966,0.00410262,0.00410262,0.00410262
16,3421.16,1.24283,1.46222,1.27771,0.57526,0.46242,0.49709,0.34386,1.22049,1.33567,1.23522,0.00397977,0.00397977,0.00397977
17,3552.01,1.24329,1.44527,1.27542,0.57124,0.47069,0.50642,0.34996,1.2251,1.32165,1.24353,0.00385117,0.00385117,0.00385117
18,3727.01,1.23209,1.43732,1.26906,0.56924,0.46928,0.50592,0.35066,1.2087,1.29849,1.23246,0.00371734,0.00371734,0.00371734
19,3909.47,1.22707,1.41507,1.26847,0.5758,0.46556,0.50906,0.35136,1.21494,1.29912,1.23656,0.0035788,0.0035788,0.0035788
20,4093.27,1.22462,1.43279,1.27092,0.58513,0.46844,0.50465,0.34976,1.21096,1.29086,1.23535,0.00343611,0.00343611,0.00343611
21,4267.28,1.22372,1.41691,1.26841,0.54726,0.48563,0.50379,0.34912,1.20996,1.28127,1.23312,0.00328982,0.00328982,0.00328982
22,4399.59,1.21409,1.40111,1.25844,0.61834,0.46667,0.51165,0.35591,1.20209,1.28348,1.2207,0.00314051,0.00314051,0.00314051
23,4560.74,1.2168,1.39487,1.25533,0.58326,0.47694,0.51329,0.35605,1.19291,1.28212,1.2199,0.00298877,0.00298877,0.00298877
24,4730.32,1.19785,1.37216,1.24809,0.60444,0.47053,0.51371,0.35974,1.18891,1.26277,1.2196,0.0028352,0.0028352,0.0028352
25,4931.14,1.20631,1.36729,1.24929,0.60788,0.47643,0.51726,0.3604,1.19524,1.26462,1.21918,0.00268041,0.00268041,0.00268041
26,5085.93,1.19651,1.36117,1.24566,0.60777,0.48828,0.52348,0.36686,1.18946,1.25604,1.21906,0.002525,0.002525,0.002525
27,5226.32,1.19123,1.34272,1.24226,0.60458,0.48402,0.52404,0.36885,1.18479,1.25411,1.21904,0.00236959,0.00236959,0.00236959
28,5364.55,1.17972,1.33575,1.23626,0.62442,0.4811,0.52323,0.36719,1.18468,1.25094,1.21902,0.0022148,0.0022148,0.0022148
29,5501.45,1.17662,1.32445,1.23327,0.58911,0.48869,0.52055,0.36688,1.174,1.25002,1.2093,0.00206123,0.00206123,0.00206123
30,5641.5,1.18548,1.33059,1.23901,0.64275,0.47474,0.52262,0.36632,1.1743,1.24251,1.21096,0.00190949,0.00190949,0.00190949
31,5781.53,1.171,1.31651,1.23171,0.61009,0.48036,0.52385,0.36783,1.16946,1.24124,1.21016,0.00176018,0.00176018,0.00176018
32,5920.54,1.16786,1.30972,1.22659,0.63924,0.47259,0.52724,0.3724,1.17037,1.22374,1.20876,0.00161389,0.00161389,0.00161389
33,6097.23,1.1594,1.29418,1.22354,0.63312,0.48175,0.52636,0.36972,1.16556,1.23244,1.20269,0.0014712,0.0014712,0.0014712
34,6304.83,1.16063,1.29748,1.22206,0.61324,0.48177,0.52606,0.37116,1.16445,1.22412,1.20343,0.00133266,0.00133266,0.00133266
35,6440.41,1.1567,1.28404,1.22258,0.58395,0.49727,0.52784,0.37163,1.16027,1.21382,1.20036,0.00119883,0.00119883,0.00119883
